                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                  1.032,                  1.017,                 1.3467,                0.82403,                0.72044,                0.84754,                0.63672,                0.97928,                0.87407,                 1.3038,              0.0012344,              0.0012344,              0.0012344
                     60,                  1.072,                 1.0132,                 1.3576,                0.79487,                0.79021,                 0.8576,                0.64973,                0.96249,                0.83122,                 1.3223,              0.0012212,              0.0012212,              0.0012212
                     61,                 1.0417,                 1.0042,                 1.3486,                0.86968,                0.76923,                0.85889,                0.64504,                0.97712,                0.79496,                 1.3178,               0.001208,               0.001208,               0.001208
                     62,                 1.0415,                 1.0098,                  1.352,                0.83927,                0.73427,                0.83527,                0.64876,                 0.9053,                0.81059,                 1.2614,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.0456,                0.97736,                 1.3211,                0.78909,                0.74825,                0.84466,                0.66742,                0.86688,                0.76395,                 1.2421,              0.0011816,              0.0011816,              0.0011816
                     64,                  1.051,                 0.9874,                 1.3396,                0.74938,                 0.8155,                0.85637,                  0.659,                0.90061,                0.79056,                 1.2377,              0.0011684,              0.0011684,              0.0011684
                     65,                 1.0677,                 1.0055,                 1.3358,                0.78419,                0.73692,                0.84108,                0.65416,                0.89447,                0.79633,                 1.2689,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.0546,                0.99191,                 1.3241,                0.87531,                0.73634,                0.87427,                0.67769,                0.87692,                0.77828,                 1.2487,               0.001142,               0.001142,               0.001142
                     67,                 1.1009,                 1.0105,                 1.3349,                0.80603,                0.81119,                 0.8926,                0.70238,                0.88292,                 0.7217,                 1.2375,              0.0011288,              0.0011288,              0.0011288
                     68,                  1.002,                 0.9939,                 1.3159,                0.80792,                0.79021,                0.86795,                 0.6844,                0.85183,                0.76999,                 1.2145,              0.0011156,              0.0011156,              0.0011156
                     69,                  1.025,                 0.9817,                 1.3243,                0.92307,                0.67126,                0.85417,                0.64598,                0.96416,                0.81604,                 1.3126,              0.0011024,              0.0011024,              0.0011024
                     70,                 1.0183,                0.96897,                 1.3027,                0.84345,                0.74825,                0.85034,                0.64766,                0.95555,                0.82004,                 1.2771,              0.0010892,              0.0010892,              0.0010892
